RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
2925,,"Burgos, Monasterio de San Juan",Próspero G. Gallardo,,,,,,,,,"January 29 - February 11, |y1985",,,,,BURMON,"Burgos, Monasterio de San Juan [exh.], 1985, n.p.","Burgos, Monasterio de San Juan [exh.], 1985",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,G,IR |D 1994 12 02 |T 17:42:27,IR |D 1994 12 02 |T 17:42:27,,,"Burgos, Monasterio de San Juan.  Próspero G. Gallardo [exh.]. January 29 - February 11, 1985.","Burgos, Monasterio de San Juan.  Próspero G. Gallardo [exh.]. January 29 - February 11, 1985.",2876,"Burgos, Monasterio de San Juan [exh.], 1985","Burgos, Monasterio",B
2926,,"Madrid, Galería Leandro Navarro","Baltasar Lobo, esculturas. Joaquín Torres García, arte constructivo",,,,,,,,,"April 4 - May 8, |y1994",,,,,MAGALE,"Madrid, Galería Leandro Navarro [exh.], 1994, n.p.","Madrid, Galería Leandro Navarro [exh.], 1994",,Checked: IJR 12/94         seen.5.30.95.fma,,,,y,,,,,,Photocopy,,,L,EG |D 1994 12 02 |T 17:57:23,EG |D 1994 12 02 |T 17:57:23,,,"Madrid, Galería Leandro Navarro.  Baltasar Lobo, esculturas. Joaquín Torres García, arte constructivo [exh.].  April 4 - May 8, 1994.","Madrid, Galería Leandro Navarro.  Baltasar Lobo, esculturas. Joaquín Torres García, arte constructivo [exh.].  April 4 - May 8, 1994.",2877,"Madrid, Galería Leandro Navarro [exh.], 1994","Madrid, Galería",M
2927,"Pueyo Luesma, J.",,Aragón,"El anónimo 'Maestro del Prelado Mur,' identificado con Tomás Giner, hacia 1455",26-33,,,,,,,March - April |y1944,,20,187,,PUELU,"Pueyo Luesma, 1944, p.","Pueyo Luesma, 1944",,Checked: IJR 12/94,,y,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 11:38:44,IR |D 1994 12 05 |T 11:38:44,,,"Pueyo Luesma, J.  El anónimo 'Maestro del Prelado Mur,' identificado con Tomás Giner, hacia 1455.  Aragón  20, 187 (March - April 1944): 26-33.","Pueyo Luesma, J.  El anónimo 'Maestro del Prelado Mur,' identificado con Tomás Giner, hacia 1455.  Aragón  20, 187 (March - April 1944): 26-33.",2878,"Pueyo Luesma, 1944",Pueyo Luesma,P
2928,,Madrid,Exposición general de bellas artes,,,,,,,,,|y1858,,,,,MAEX58,"Madrid, Exposición general [exh.], 1858, p.","Madrid, Exposición general [exh.], 1858",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 12:45:28,IR |D 1994 12 05 |T 12:45:28,,"madrid, exposicion general1858",Madrid.  Exposición general de bellas artes [exh.].  1858.,Madrid.  Exposición general de bellas artes [exh.].  1858.,2879,"Madrid, Exposición general [exh.], 1858","Madrid, Exposición",M
2929,,"Madrid, Galería Alfama",Homenaje a Lorenzo Goñi,,,,,,,,,February |y1993,,,,,MAAL93,"Madrid, Galería Alfama [exh.], 1993, n.p.","Madrid, Galería Alfama [exh.], 1993",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 12:50:49,IR |D 1994 12 05 |T 12:50:49,,,"Madrid, Galería Alfama.  Homenaje a Lorenzo Goñi [exh.]. February 1993.","Madrid, Galería Alfama.  Homenaje a Lorenzo Goñi [exh.]. February 1993.",2880,"Madrid, Galería Alfama [exh.], 1993","Madrid, Galería",M
2930,"Muelas, F.",,Goñi,,,,Artistas españoles contemporáneos,,,[Madrid],1975,,,,,,MUELAS,"Muelas, 1975, p.","Muelas, 1975",,Checked: IJR 12/94,,,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 13:11:15,IR |D 1994 12 05 |T 13:11:15,,,"Muelas, F.  Goñi.  Artistas españoles contemporáneos. [Madrid], 1975.","Muelas, F.  Goñi.  Artistas españoles contemporáneos. [Madrid], 1975.",2881,"Muelas, 1975","Muelas, 1975",M
2931,"Revenga Domínguez, P.",,Aproximación a la pintura toledana de la segunda mitad del siglo XVII,,,,,,,Toledo,1988,,,,,,REDO,"Revenga Domínguez, 1988, p.","Revenga Domínguez, 1988",,Checked: IJR 12/94,,,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 13:14:27,IR |D 1994 12 05 |T 13:14:27,,,"Revenga Domínguez, P.  Aproximación a la pintura toledana de la segunda mitad del siglo XVII.  Toledo, 1988.","Revenga Domínguez, P.  Aproximación a la pintura toledana de la segunda mitad del siglo XVII.  Toledo, 1988.",2882,"Revenga Domínguez, 1988",Revenga Domínguez,R
2932,"Cabré, C.",,Modernisme'1. Revista del Centro de Lectura,Hortensi Güell: Biografía estètica i etapes,9-Jun,,,,,,,October |y1972,,4,239,,CABRE,"Cabré, 1972, p.","Cabré, 1972",,Checked: IJR 12/94,,y,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 13:31:22,IR |D 1994 12 05 |T 13:31:22,,,"Cabré, C.  Hortensi Güell: Biografía estètica i etapes. Modernisme'1. Revista del Centro de Lectura  4, 239 (October 1972): 6-9.","Cabré, C.  Hortensi Güell: Biografía estètica i etapes. Modernisme'1. Revista del Centro de Lectura  4, 239 (October 1972): 6-9.",2883,"Cabré, 1972","Cabré, 1972",C
2933,"Trujillo La-Roche, P.",,Guezala,,,,,,,Santa Cruz de Tenerife,1992,,,,,,TRULA,"Trujillo La-Roche, 1992, p.","Trujillo La-Roche, 1992",,Checked: IJR 12/94,,,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 13:56:14,IR |D 1994 12 05 |T 13:56:14,,,"Trujillo La-Roche, P.  Guezala.  Santa Cruz de Tenerife, 1992.","Trujillo La-Roche, P.  Guezala.  Santa Cruz de Tenerife, 1992.",2884,"Trujillo La-Roche, 1992",Trujillo La,T
2934,"Balañà, M.V.",,Modernisme 1. Revista del Centro de Lectura,"N'Hortensi Güell, pintor",12-Nov,,,,,,,October |y 1972,,4,239,,BALANA,"Balañà, 1972, p.","Balañà, 1972",,Checked: IJR 12/94     seen.5.26.95.fma,,y,,,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 13:38:36,IR |D 1994 12 05 |T 13:38:36,,"balanza, m.v.1972nhortensi","Balañà, M.V.  N'Hortensi Güell, pintor.  Modernisme 1. Revista del Centro de Lectura  4, 239 (October 1972): 11-12.","Balañà, M.V.  N'Hortensi Güell, pintor.  Modernisme 1. Revista del Centro de Lectura  4, 239 (October 1972): 11-12.",2885,"Balañà, 1972","Balañà, 1972",B
2935,,"Zurich, Galerie Nathan","Baltasar Lobo, Skulpturen, Zeichnungen",,,,,,,,,"April 23 - July 13, |y1985",,,,,ZUNA85,"Zurich, Galerie Nathan [exh.], 1985, p.","Zurich, Galerie Nathan [exh.], 1985",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,L,EG |D 1994 12 05 |T 14:18:27,EG |D 1994 12 05 |T 14:18:27,,,"Zurich, Galerie Nathan.  Baltasar Lobo, Skulpturen, Zeichnungen [exh.].  April 23 - July 13, 1985.","Zurich, Galerie Nathan.  Baltasar Lobo, Skulpturen, Zeichnungen [exh.].  April 23 - July 13, 1985.",2886,"Zurich, Galerie Nathan [exh.], 1985","Zurich, Galerie",Z
2936,"Moragas, F. de.",,Butlleti Arqueologic,"L'art, els artistes i'ls artesans de Valls",15-17,,,,,,,|y1921,,3,1,,MORA21,"Moragas, 1921, p.","Moragas, 1921",,Checked: IJR 12/94,,y,,,,,,,,Photocopy,,,L,EG |D 1994 12 05 |T 14:34:13,EG |D 1994 12 05 |T 14:34:13,,,"Moragas, F. de.  L'art, els artistes i'ls artesans de Valls. Butlleti Arqueologic  3, 1 (1921): 15-17.","Moragas, F. de.  L'art, els artistes i'ls artesans de Valls. Butlleti Arqueologic  3, 1 (1921): 15-17.",2887,"Moragas, 1921","Moragas, 1921",M
2937,"Collar de Cáceres, F.",,"[Actas] Arte gótico postmedieval. Simposio Nacional del C.E.H.A.: Segovia, 7-8 junio 1985",Persistencia de lo gótico en las artes plásticas del siglo XVI en Segovia,,,,,,Segovia,"1987, pp.49-60",,,,,,COCACER,"Collar de Cáceres, Persistencia de lo gótico, 1987, p.","Collar de Cáceres, Persistencia de lo gótico, 1987",,Checked: IJR 12/94     seen.5.25.95.fma,,,,,,,y,,,Photocopy,,,L,EG |D 1994 12 05 |T 15:30:24,EG |D 1994 12 05 |T 15:30:24,,,"Collar de Cáceres, F.  Persistencia de lo gótico en las artes plásticas del siglo XVI en Segovia.  In [Actas] Arte gótico postmedieval. Simposio Nacional del C.E.H.A.: Segovia, 7-8 junio 1985.  Segovia, 1987, pp.49-60.","Collar de Cáceres, F.  Persistencia de lo gótico en las artes plásticas del siglo XVI en Segovia.  In [Actas] Arte gótico postmedieval. Simposio Nacional del C.E.H.A.: Segovia, 7-8 junio 1985.  Segovia, 1987, pp.49-60.",2888,"Collar de Cáceres, Persistencia de lo gótico, 1987",Collar de,C
2938,"Gómez Menor, J.C.",,Boletín de Arte Toledano,Documentos,191-199,,,,,,,|y1968,,3,1,,GOME,"Gómez Menor, 1968, p.","Gómez Menor, 1968",,Checked: IJR 12/94,,y,,,,,,,,Photocopy,,,L,EG |D 1994 12 05 |T 16:28:58,EG |D 1994 12 05 |T 16:28:58,,,"Gómez Menor, J.C.  Documentos.  Boletín de Arte Toledano  3, 1 (1968): 191-199.","Gómez Menor, J.C.  Documentos.  Boletín de Arte Toledano  3, 1 (1968): 191-199.",2889,"Gómez Menor, 1968",Gómez Menor,G
2939,,"Liège, Salle Saint Georges",Sorolla - Solana,,,,,,,,,|y1985,,,,,LISALLE,"Liège, Salle Saint Georges [exh.], 1985, p.","Liège, Salle Saint Georges [exh.], 1985",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,G,IR |D 1994 12 05 |T 16:45:23,IR |D 1994 12 05 |T 16:45:23,,,"Liège, Salle Saint Georges.  Sorolla - Solana [exh.].  1985.","Liège, Salle Saint Georges.  Sorolla - Solana [exh.].  1985.",2890,"Liège, Salle Saint Georges [exh.], 1985","Liège, Salle",L
2940,,"Barcelona, Palau Reial de Pedralbes",II Biennal de l'aquarel.la. Frederic Lloveras,,,,,,,,,"March 14 - April 8, |y1985",,,,,BARPARE,"Barcelona, Palau Reial de Pedralbes [exh.], 1985, p.","Barcelona, Palau Reial de Pedralbes [exh.], 1985",,Checked: IJR 12/94     seen.5.26.95.fma,,,,y,,,,,,Photocopy,,,L,EG |D 1994 12 05 |T 16:52:18,EG |D 1994 12 05 |T 16:52:18,,,"Barcelona, Palau Reial de Pedralbes.  II Biennal de l'aquarel.la. Frederic Lloveras [exh.].  March 14 - April 8, 1985.","Barcelona, Palau Reial de Pedralbes.  II Biennal de l'aquarel.la. Frederic Lloveras [exh.].  March 14 - April 8, 1985.",2891,"Barcelona, Palau Reial de Pedralbes [exh.], 1985","Barcelona, Palau",B
2941,,"London, Courtauld Institute Galleries","Tomás Harris, 1908-1964. Paintings, Dry-points, Lithographs, Tapestries, Stained Glass and Ceramics",,,,,,,,,"February 27 - March 31, |y1975",,,,,LONCOUR75,"London, Courtauld Institute Galleries [exh.], 1975, n.p.","London, Courtauld Institute Galleries [exh.], 1975",,Checked: IJR 12/94,,,,y,,,,,,Photocopy,,,H,IR |D 1994 12 05 |T 17:00:35,IR |D 1994 12 05 |T 17:00:35,,,"London, Courtauld Institute Galleries.  Tomás Harris, 1908-1964. Paintings, Dry-points, Lithographs, Tapestries, Stained Glass and Ceramics [exh.].  February 27 - March 31, 1975.","London, Courtauld Institute Galleries.  Tomás Harris, 1908-1964. Paintings, Dry-points, Lithographs, Tapestries, Stained Glass and Ceramics [exh.].  February 27 - March 31, 1975.",2892,"London, Courtauld Institute Galleries [exh.], 1975","London, Courtauld",L
2942,"Venison, T.",,Country Life,A Caprice Well Named,46-49,,,,,,,"December 20, |y 1990",,184,51,,VENI,"Venison, 1990, p.","Venison, 1990",,,,y,,,,,,,,Photocopy,,,G L,LC |D 1994 12 05 |T 17:51:26,LC |D 1994 12 05 |T 17:51:26,,,"Venison, T.  A Caprice Well Named.  Country Life  184, 51 (December 20, 1990): 46-49.","Venison, T.  A Caprice Well Named.  Country Life  184, 51 (December 20, 1990): 46-49.",2893,"Venison, 1990","Venison, 1990",V
2943,,,"[Actas] Arte gótico postmedieval. Simposio nacional del C.E.H.A.: Segovia, 7-8 junio 1985",,,,,Ed.,L. Reinoso Robledo,Segovia,1987 [Individual articles listed by author],,,,,,,,,,seen.5.25.95.fma,,,,,,,,,,Photocopy,,,L,IR |D 1994 12 06 |T 11:15:49,IR |D 1994 12 06 |T 11:15:49,,actas01,"[Actas] Arte gótico postmedieval. Simposio nacional del C.E.H.A.: Segovia, 7-8 junio 1985.  Ed. L. Reinoso Robledo.  Segovia, 1987 [Individual articles listed by author].","[Actas] Arte gótico postmedieval. Simposio nacional del C.E.H.A.: Segovia, 7-8 junio 1985.  Ed. L. Reinoso Robledo.  Segovia, 1987 [Individual articles listed by author].",2894,"[Actas] Arte gótico postmedieval. Simposio nacional del C.E.H.A.: Segovia, 7-8 junio 1985",Actas] Arte,[
2944,"Christie's, New York.",,"19th Century European Paintings, Drawings and Watercolors",,,,,,,,,"February 18, |y1993",,,,,CHRISNY293,"Sale, Christie's, New York, February 18, 1993, p.  lot","Sale, Christie's, New York, February 18, 1993",,seen.2.27.95.fma,,,,,,y,,,,Sale,,,R,MPP |D 1994 12 07 |T 12:59:16,MPP |D 1994 12 07 |T 12:59:16,,,"Sale, Christie's, New York.  19th Century European Paintings, Drawings and Watercolors.  February 18, 1993.","Sale, Christie's, New York.  19th Century European Paintings, Drawings and Watercolors.  February 18, 1993.",2895,"Sale, Christie's, New York, February 18, 1993","Sale, Christie's",S
2945,,"Madrid, Museo Thyssen-Bornemisza",Maestros antiguos,,,,,Comps.,J.M. Pita Andrade and M. Borobia Guerrero,,,|y1992,,,,,MAMUTHYSAN,"Madrid, Museo Thyssen-Bornemisza, Maestros antiguos [cat.], 1992, p.","Madrid, Museo Thyssen-Bornemisza, Maestros antiguos [cat.], 1992",,,,,y,,,,,,,Back on Shelf,,028 t429 1992a,G H M2 M3,MPP |D 1994 12 08 |T 12:51:32,MPP |D 1994 12 08 |T 12:51:32,,,"Madrid, Museo Thyssen-Bornemisza.  Maestros antiguos [cat.]. Comps. J.M. Pita Andrade and M. Borobia Guerrero.  1992.","Madrid, Museo Thyssen-Bornemisza.  Maestros antiguos [cat.]. Comps. J.M. Pita Andrade and M. Borobia Guerrero.  1992.",2896,"Madrid, Museo Thyssen-Bornemisza, Maestros antiguos [cat.], 1992","Madrid, Museo",M
2946,,,La catedral de Santiago de Compostela,,,,Patrimonio histórico gallego I. Catedrales 1,,,Laracha (La Coruña),1993 [Individual articles listed by author],,,,,,,,,,seen.12.8.94.fma,,,,,,,,,,Authors,,C Sa58 C28c 1993,M1,FMA |D 1994 12 08 |T 12:37:30,FMA |D 1994 12 08 |T 12:37:30,,,"La catedral de Santiago de Compostela.  Patrimonio histórico gallego I. Catedrales 1.  Laracha (La Coruña), 1993 [Individual articles listed by author].","La catedral de Santiago de Compostela.  Patrimonio histórico gallego I. Catedrales 1.  Laracha (La Coruña), 1993 [Individual articles listed by author].",2897,La catedral de Santiago de Compostela,La catedral,L
2947,,"Madrid, Museo Thyssen-Bornemisza",Maestros modernos,,,,,Comp.,J. Alvarez Lopera,,,|y1992,,,,,MATHYSMO,"Madrid, Museo Thyssen-Bornemisza, Maestros modernos [cat.], 1992, p.","Madrid, Museo Thyssen-Bornemisza, Maestros modernos [cat.], 1992",,seen.2.17.95.fma,,,y,,,,,,,Back on Shelf,,028 t429 1992b,G M3,MPP |D 1994 12 08 |T 13:16:35,MPP |D 1994 12 08 |T 13:16:35,,,"Madrid, Museo Thyssen-Bornemisza.  Maestros modernos [cat.]. Comp. J. Alvarez Lopera.  1992.","Madrid, Museo Thyssen-Bornemisza.  Maestros modernos [cat.]. Comp. J. Alvarez Lopera.  1992.",2898,"Madrid, Museo Thyssen-Bornemisza, Maestros modernos [cat.], 1992","Madrid, Museo",M
2948,,"Madrid, Museo del Prado",Boletín del Museo del Prado,"El 'Prado disperso': Cuadros y esculturas depositados en Gerona, Llagostera, Olot, Figueras, Lérida, Poblet, Mataró, Sitges, Sabadell y Villanueva y Geltrú",89-141,,,,,,,|y 1991,,12,,,MABO91,"Madrid, Prado, disperso, 1991, p.","Madrid, Prado, disperso, 1991",,seen.2.6.95.fma  // IJR 3/95,,y,,,,,,,,Back on Shelf,,,G H L M1 M3 M4,EG |D 1994 12 08 |T 15:25:00,EG |D 1994 12 08 |T 15:25:00,,"madrid, prado1991disperso","Madrid, Museo del Prado.  El 'Prado disperso': Cuadros y esculturas depositados en Gerona, Llagostera, Olot, Figueras, Lérida, Poblet, Mataró, Sitges, Sabadell y Villanueva y Geltrú.  Boletín del Museo del Prado 12 (1991): 89-141.","Madrid, Museo del Prado.  El 'Prado disperso': Cuadros y esculturas depositados en Gerona, Llagostera, Olot, Figueras, Lérida, Poblet, Mataró, Sitges, Sabadell y Villanueva y Geltrú.  Boletín del Museo del Prado 12 (1991): 89-141.",2899,"Madrid, Prado, disperso, 1991","Madrid, Prado",M
2949,,"Vich, Museu Episcopal",Les col.leccions,,,,,Comps.,V. Pascual and R. Rial,,,|y1992,,,,,VICHMU92,"Vich, Museu Episcopal [cat.], 1992, p.","Vich, Museu Episcopal [cat.], 1992",,"Checked: IJR 12/94 (on the title page, it seems that the compiler appears to be just one man, but the bibliographic citations at the end and the cover of the book indicate that the i is here used as and IJR.",,,y,,,,,,,Collections (Private & Public),,C V665c Ep4c 1992,G H M1 M2 M4 V,EG |D 1994 12 15 |T 12:51:20,EG |D 1994 12 15 |T 12:51:20,,,"Vich, Museu Episcopal.  Les col.leccions [cat.].  Comps. V. Pascual and R. Rial.  1992.","Vich, Museu Episcopal.  Les col.leccions [cat.].  Comps. V. Pascual and R. Rial.  1992.",2900,"Vich, Museu Episcopal [cat.], 1992","Vich, Museu",V
2950,"Christie's, London.",,Important 19th Century Pictures and Continental Watercolours,,,,,,,,,"November 25, |y1988",,,,,CHRISLON1188,"Sale, Christie's, London, November 25, 1988, p.  lot","Sale, Christie's, London, November 25, 1988",,Checked: IJR 12/94,,,,,,y,,,,Sale,,,Z,MPP |D 1994 12 16 |T 10:45:43,MPP |D 1994 12 16 |T 10:45:43,,,"Sale, Christie's, London.  Important 19th Century Pictures and Continental Watercolours.  November 25, 1988.","Sale, Christie's, London.  Important 19th Century Pictures and Continental Watercolours.  November 25, 1988.",2901,"Sale, Christie's, London, November 25, 1988","Sale, Christie's",S
2951,"Sobré, J.B.",,Metropolitan Museum Journal,Two Fifteenth-Century Aragonese Retables and Painters of the Calatayud Group,91-118,,,,,,,|y1980,,15,,,SOBRE80,"Sobré, 1980, p.","Sobré, 1980",,Checked: IJR 12/94       seen.2.24.95.fma,,y,,,,,,,,Magazine,,,M2,IR |D 1994 12 20 |T 11:15:32,IR |D 1994 12 20 |T 11:15:32,,,"Sobré, J.B.  Two Fifteenth-Century Aragonese Retables and Painters of the Calatayud Group.  Metropolitan Museum Journal  15 (1980): 91-118.","Sobré, J.B.  Two Fifteenth-Century Aragonese Retables and Painters of the Calatayud Group.  Metropolitan Museum Journal  15 (1980): 91-118.",2902,"Sobré, 1980","Sobré, 1980",S
2952,,"Bayonne, Musée Bonnat",,,,,Musées et monuments de France,Comp.,V. Ducourau,,,|y1988,,,,,BAYMUBON,"Bayonne, Musée Bonnat [cat.], 1988, p.","Bayonne, Musée Bonnat [cat.], 1988",,Checked: IJR 12/94       seen.5.26.95.fma,,,y,,,,,,,Collections (Private & Public),,C B345 C B64c 1988,L M1 M2 M3 M4 R,IR |D 1994 12 20 |T 17:58:54,IR |D 1994 12 20 |T 17:58:54,,,"Bayonne, Musée Bonnat.  Musées et monuments de France.  [cat.]. Comp. V. Ducourau.  1988.","Bayonne, Musée Bonnat.  Musées et monuments de France.  [cat.]. Comp. V. Ducourau.  1988.",2903,"Bayonne, Musée Bonnat [cat.], 1988","Bayonne, Musée",B
2953,"Demus, O.",,Romanesque Mural Painting,,,,,Trans.,M. Whittall,London,1970,,,,,,DEMUS,"Demus, 1970, p.","Demus, 1970",,,,,,,,,,,,Authors,,047 D39,M2,EG |D 1994 12 21 |T 11:02:29,EG |D 1994 12 21 |T 11:02:29,,,"Demus, O.  Romanesque Mural Painting.  Trans. M. Whittall. London, 1970.","Demus, O.  Romanesque Mural Painting.  Trans. M. Whittall. London, 1970.",2904,"Demus, 1970","Demus, 1970",D
2954,"Williams, J.",,Art Bulletin,San Isidoro in León: Evidence for a New History,171-184,,,,,,,|y 1973,,55,,,WILLI,"Williams, 1973, p.","Williams, 1973",,seen.2.3.95.fma // IJR 4/95,,y,,,,,,,,Back on Shelf,,,M2,EG |D 1994 12 21 |T 15:15:59,EG |D 1994 12 21 |T 15:15:59,,"williams, j.[w].1973","Williams, J.  San Isidoro in León: Evidence for a New History.  Art Bulletin  55 (1973): 171-184.","Williams, J.  San Isidoro in León: Evidence for a New History.  Art Bulletin  55 (1973): 171-184.",2905,"Williams, 1973","Williams, 1973",W
2955,"Williams, J.[W.]",,"The Art of Medieval Spain, A.D. 500-1200",León and the Beginnings of the Spanish Romanesque,,,,,,"New York, Metropolitan Museum of Art","1993, pp.167-173",,,,,,WILLI93,"Williams, 1993, p.","Williams, 1993",,,,,,y,,,y,,,Exhibitions,,,M2,EG |D 1994 12 21 |T 16:14:49,EG |D 1994 12 21 |T 16:14:49,,,"Williams, J.[W.]  León and the Beginnings of the Spanish Romanesque.  In The Art of Medieval Spain, A.D. 500-1200 [exh.].  New York, Metropolitan Museum of Art, 1993, pp.167-173.","Williams, J.[W.]  León and the Beginnings of the Spanish Romanesque.  In The Art of Medieval Spain, A.D. 500-1200 [exh.].  New York, Metropolitan Museum of Art, 1993, pp.167-173.",2906,"Williams, 1993","Williams, 1993",W
2956,"Viñayo González, A.",,"León y Asturias. Oviedo, León, Zamora y Salamanca",,,,La España románica 5,,,Madrid,1979,,"French Edition, 1972",,,,VIGON,"Viñayo González, 1979, p.","Viñayo González, 1979",,Checked: IJR 3/95,,,,,,,,,,Back on Shelf,,833.5 Z72L,M2,EG |D 1994 12 21 |T 17:08:17,EG |D 1994 12 21 |T 17:08:17,,"vinzayo gonzalez, a.1979","Viñayo González, A.  León y Asturias. Oviedo, León, Zamora y Salamanca.  La España románica 5.  French Edition, 1972.  Madrid, 1979.","Viñayo González, A.  León y Asturias. Oviedo, León, Zamora y Salamanca.  La España románica 5.  French Edition, 1972.  Madrid, 1979.",2907,"Viñayo González, 1979",Viñayo González,V
2957,"Batlle i Huguet, P.",,Boletín Arqueológico,Las pinturas góticas de la Catedral de Tarragona y de su Museo Diocesano,197-218,,,,,,,|y1952,,,52,,BATHU,"Batlle i Huguet, 1952, p.","Batlle i Huguet, 1952",,seen.2.6.95.fma  // IJR 4/95,,y,,,,,,,,Magazine,,,M2,EG |D 1994 12 29 |T 13:08:24,EG |D 1994 12 29 |T 13:08:24,,,"Batlle i Huguet, P.  Las pinturas góticas de la Catedral de Tarragona y de su Museo Diocesano.  Boletín Arqueológico  52 (1952): 197-218.","Batlle i Huguet, P.  Las pinturas góticas de la Catedral de Tarragona y de su Museo Diocesano.  Boletín Arqueológico  52 (1952): 197-218.",2908,"Batlle i Huguet, 1952",Batlle i,B
2958,,"Daroca, Museo Colegial",,,,,,Comp.,J.F. Esteban Lorente.  Guías de los museos de España 38,,,|y1975,,,,,DAMU,"Daroca, Museo Colegial [cat.], 1975, p.","Daroca, Museo Colegial [cat.], 1975",,Checked: IJR 3/95,,,y,,,,,,,Back on Shelf,,c D251 c C67c 1975,M2,EG |D 1995 01 04 |T 15:48:25,EG |D 1995 01 04 |T 15:48:25,,,"Daroca, Museo Colegial.  [cat.].  Comp. J.F. Esteban Lorente. Guías de los museos de España 38.  1975.","Daroca, Museo Colegial.  [cat.].  Comp. J.F. Esteban Lorente. Guías de los museos de España 38.  1975.",2909,"Daroca, Museo Colegial [cat.], 1975","Daroca, Museo",D
2959,"Díaz Padrón, M.",,Archivo Español de Arte,"Una tabla inédita de la Virgen de la leche de Juan Sánchez, 'Maestro de las Figuras Anchas', en el castillo de Pedraza",195-198,,,,,,,|y1989,,62,,,DIPA89,"Díaz Padrón, 1989, p.","Díaz Padrón, 1989",,Checked: IJR 1/95      seen.2.2.95.fma,,y,,,,,,,,Magazine,,,M2,IR |D 1995 01 05 |T 13:38:45,IR |D 1995 01 05 |T 13:38:45,,,"Díaz Padrón, M.  Una tabla inédita de la Virgen de la leche de Juan Sánchez, 'Maestro de las Figuras Anchas', en el castillo de Pedraza. Archivo Español de Arte  62 (1989): 195-198.","Díaz Padrón, M.  Una tabla inédita de la Virgen de la leche de Juan Sánchez, 'Maestro de las Figuras Anchas', en el castillo de Pedraza. Archivo Español de Arte  62 (1989): 195-198.",2910,"Díaz Padrón, 1989",Díaz Padrón,D
2960,"Gudiol Ricart, J.",,Goya,El Maestro de Avila,138-145,,,,,,,November-December |y1957,,,21,,GURI57,"Gudiol Ricart, 1957, p.","Gudiol Ricart, 1957",,seen.2.3.95.fma,,y,,,,,,,,Magazine,,,M2,EG |D 1995 01 05 |T 14:12:43,EG |D 1995 01 05 |T 14:12:43,,,"Gudiol Ricart, J.  El Maestro de Avila.  Goya  21 (November-December 1957): 138-145.","Gudiol Ricart, J.  El Maestro de Avila.  Goya  21 (November-December 1957): 138-145.",2911,"Gudiol Ricart, 1957",Gudiol Ricart,G
2961,"Company [i Climent], X.",,La pintura Paduano-Ferraresa del Quattrocento y sus relaciones con España,,,,,,,Lleida,1989,,,,,,COMCLI89,"Company [i Climent], 1989, p.","Company [i Climent], 1989",,Checked: IJR 1/95,,,,,,,,,,Authors,,710.3 C738,M2,IR |D 1995 01 06 |T 11:10:49,IR |D 1995 01 06 |T 11:10:49,,,"Company [i Climent], X.  La pintura Paduano-Ferraresa del Quattrocento y sus relaciones con España.  Lleida, 1989.","Company [i Climent], X.  La pintura Paduano-Ferraresa del Quattrocento y sus relaciones con España.  Lleida, 1989.",2912,"Company [i Climent], 1989",Company [i,C
2962,"Avila [Padrón], A.",,Boletín del Museo e Instituto Camón Aznar,Aproximación cronológica del retablo mayor de Bolea (Aporte crítico del repertorio gráfico),61-70,,,,,,,|y1987,,,28,,AVIA,"Avila [Padrón], Aproximación, 1987, p.","Avila [Padrón], Aproximación, 1987",,Checked: IJR 1/95         seen.2.3.95.fma,,y,,,,,,,,Magazine,,,M2,IR |D 1995 01 06 |T 11:17:32,IR |D 1995 01 06 |T 11:17:32,,,"Avila [Padrón], A.  Aproximación cronológica del retablo mayor de Bolea (Aporte crítico del repertorio gráfico).  Boletín del Museo e Instituto Camón Aznar  28 (1987): 61-70.","Avila [Padrón], A.  Aproximación cronológica del retablo mayor de Bolea (Aporte crítico del repertorio gráfico).  Boletín del Museo e Instituto Camón Aznar  28 (1987): 61-70.",2913,"Avila [Padrón], Aproximación, 1987",Avila [Padrón,A
